章|章名|字|的，|逗|半角|tic|战|世|修
1|第九世结束，结算中|2551|1.96|6|0|2|2|6|0
2|一宙三洪|2608|1.92|5|0|2|0|10|8
3|身世|1304|2.30|4|0|3|2|0|4
4|旧例|1719|3.49|4|0|1|2|2|0
5|劫贡|871|6.89|5|0|0|1|0|0
6|点卯|1303|3.07|5|0|1|1|0|4
7|家什|1185|3.38|4|0|1|0|0|0
8|坊市|2320|3.02|5|0|6|0|9|0
9|入墟|1184|3.38|5|0|0|0|4|2
10|回声|597|5.03|5|0|1|0|0|0
11|坐标物|1397|0.00|3|0|3|1|0|5
12|慢半日|1144|0.87|4|0|1|0|0|2
13|潮倒卷|1426|0.70|5|0|4|0|0|4
14|死门|1967|3.56|3|0|3|0|4|3
15|另一层|2169|3.69|5|0|6|0|0|2
16|半步|1983|3.03|5|0|10|2|0|1
17|清场|2259|3.10|3|0|5|0|17|10
18|谁带路|743|5.38|4|0|1|0|0|0
19|旧例还认|1987|2.52|5|0|8|0|2|2
20|印与账|548|1.82|7|0|1|6|0|0
21|缴清|1519|1.97|6|0|7|0|0|5
22|一成|2420|3.72|4|0|5|1|1|1
23|无归|1400|3.57|3|0|4|0|0|3
24|先医后问|1704|1.76|3|0|24|0|0|2
25|废物|1733|2.31|4|0|21|0|3|3
26|棺船|1731|2.31|3|0|17|0|0|1
27|改姓派|942|0.00|6|0|3|0|0|0
28|仙籍|2323|1.72|4|0|16|0|5|1
29|窦让|1416|2.12|4|0|12|0|7|0
30|一线|706|2.83|3|0|0|0|0|10
31|灯|1229|4.07|4|0|1|0|0|0
32|来路|1002|3.99|4|0|2|0|0|0
33|三里|633|1.58|7|0|0|0|1|0
34|挖不动|579|0.00|6|0|0|0|0|0
35|崩价|470|2.13|4|0|0|0|2|0
36|靠右|500|4.00|4|0|0|1|0|0
37|路引|729|1.37|6|0|0|0|0|0
38|从外往里|2258|2.66|6|0|4|5|2|3
39|点灯|484|6.20|6|0|0|0|0|0
40|两边都得进门|510|3.92|7|0|0|1|0|0
41|图正|438|0.00|4|0|2|0|0|1
42|正册|923|0.00|5|0|4|0|2|2
43|招募|736|1.36|6|0|1|0|2|0
44|出发|545|1.83|4|0|1|0|2|0
45|走得越齐挪得越快|624|1.60|7|0|1|0|4|0
46|呼吸|629|1.59|3|0|2|1|0|1
47|第一版|527|0.00|3|0|0|0|0|0
48|抹印|641|1.56|5|0|1|0|1|1
49|别处|638|6.27|7|0|1|0|0|0
50|接在哪里|616|3.25|4|0|2|0|2|0
51|古驿|971|0.00|4|0|0|0|5|2
52|过客册|477|4.19|5|0|0|0|0|0
53|接口|1106|1.81|7|0|0|1|0|3
54|挤|1019|1.96|6|0|2|3|2|0
55|并线|1170|4.27|5|0|0|1|1|0
56|折损|1324|2.27|4|0|5|2|4|0
57|凉的|739|5.41|3|0|0|1|0|7
58|数脚印|606|1.65|4|0|0|0|0|0
59|往一个方向去|449|0.00|5|0|2|1|0|0
60|定路|548|0.00|5|0|0|0|0|0
61|除名|562|1.78|5|0|1|0|0|0
62|回渡口|438|6.85|5|0|1|0|0|0
63|收人|532|9.40|6|0|2|0|0|0
64|注销|691|1.45|5|0|2|0|0|0
65|没人看懂|519|3.85|6|0|3|0|0|0
66|潮声|433|4.62|6|0|1|0|0|0
67|门开着|329|0.00|4|0|1|0|0|0
68|归潮|1023|1.96|5|0|0|0|1|0
69|转向|1283|0.78|6|0|0|2|0|2
70|回|754|3.98|4|0|0|1|0|3
71|敲门|1154|0.87|3|0|0|0|3|6
72|收客|512|7.81|6|0|0|1|0|0
73|让路|575|5.22|6|0|0|1|0|0
74|路基之下|509|3.93|6|0|1|0|0|2
75|残图|616|3.25|6|0|0|0|0|0
76|交易|1204|1.66|5|0|1|0|0|1
77|七个名字|656|3.05|6|0|0|0|0|0
78|第一个到家的人|1995|1.50|4|0|3|1|0|0
79|不能关门|2545|2.36|5|0|3|0|0|6
80|照无归渡例|3125|4.48|5|0|4|1|0|4
81|三成|966|11.39|8|0|1|0|0|1
82|苗七|1657|4.22|5|0|1|0|3|0
83|没抄错|1372|5.10|6|0|1|0|4|1
84|第四座|1382|4.34|5|0|1|0|0|0
85|天亮就灭|1332|4.50|5|0|0|0|0|0
86|图什么|1480|4.73|5|0|1|1|0|0
87|撑不住的先死|1950|3.08|8|0|3|0|0|0
88|第一版|1739|5.75|6|0|2|0|1|0
89|七块牌|1224|5.72|5|0|0|0|0|0
90|伪牌|2169|3.69|5|0|1|0|0|0
91|三息|742|1.35|2|0|0|0|0|10
92|谁来验|1427|4.91|6|0|0|0|0|0
93|我想错了|1700|1.18|6|0|0|1|0|0
94|一本账|1932|5.69|6|0|1|0|0|0
95|抄给谁|1253|3.19|5|0|0|0|0|0
96|时刻表|1934|2.07|5|0|1|0|5|0
97|往下游去|1459|2.74|6|0|1|1|0|0
98|合利渡|2004|3.99|5|0|0|2|0|2
99|两件事是一件事|1494|2.01|7|0|2|0|0|4
100|门开了|2356|2.97|7|0|2|0|0|0
101|反咬|1591|5.03|6|0|1|0|1|0
102|一半人信了|1970|3.55|6|0|2|2|0|4
103|赵素的账|1077|3.71|6|0|0|0|0|0
104|苗七来了|1357|4.42|9|0|2|1|1|0
105|下一次|1075|5.58|5|0|1|0|0|0
106|十四座|2980|3.69|6|0|1|6|0|8
107|求上门|1739|6.33|6|0|0|0|1|0
108|不算|1352|4.44|6|0|1|1|0|0
109|名分|1820|4.95|6|0|3|0|0|1
110|七座动心|1140|4.39|5|0|2|0|0|0
111|赵长庚的一票|1661|4.21|7|0|5|0|0|0
112|价钱|1650|4.85|5|0|0|1|0|0
113|那就不是账了|1626|8.00|4|0|1|2|0|0
114|盟在哪儿|1948|3.08|6|0|3|0|0|0
115|点灯|3045|1.64|5|0|5|1|1|42
